Timestamp,Email Address,your Current Age ,Your Gender,Which Social Media platform you frequently use,what is the usual content that u see,your average screen time per day  ,Did you regret using social media at any point in your day ,Why do you open the social media most of the time ,Did the number of likes ever effect your mode , From scale 1 - 10 how social media has a bad effect on your focus  ,From scale 1 - 10 how good your focus without using social media ,Did you ever compare yourself with anyone on social media , From scale 1 - 10 how the   comparison often effect your mode in negative way 
4/5/2026 8:38:55,,Under 20,Male,"Instegram, TikTok, SnapChat, WhatsApp",Mix of both them,0 - 3 ( hours ),Maybe,Just a habit,Maybe,7,7,Maybe,4
4/5/2026 9:15:11,,Under 20,Female,TikTok,Non educational content,7+ ( hours ),Yes,"Feeling bored, Just a habit",No,8,10,Maybe,4
4/5/2026 9:15:37,,Under 20,Male,"WhatsApp, YouTube ",Mix of both them,3 - 7 ( hours ),No,"Feeling bored, Taking to friends",No,3,4,No,1
4/5/2026 9:19:44,,20 +,Male,"Instegram, TikTok",educational content,3 - 7 ( hours ),No,Just a habit,No,6,8,No,4
4/5/2026 9:28:00,,20 +,Male,"FaceBook, WhatsApp",Mix of both them,0 - 3 ( hours ),Maybe,"Seeing news and trends, Just a habit",Maybe,7,9,No,1
4/5/2026 9:28:24,,Under 20,Male,"Instegram, YouTube",Mix of both them,0 - 3 ( hours ),Maybe,Feeling bored,No,6,10,No,1
4/5/2026 9:28:49,,20 +,Male,"Instegram, FaceBook",Mix of both them,0 - 3 ( hours ),No,Seeing news and trends,No,3,9,Maybe,7
4/5/2026 9:49:42,,Under 20,Female,"Instegram, WhatsApp",Mix of both them,0 - 3 ( hours ),Yes,"Feeling bored, Just a habit",No,8,8,Yes,9
4/5/2026 9:51:02,,Under 20,Female,"Instegram, TikTok, WhatsApp",Non educational content,7+ ( hours ),Yes,"Feeling bored, Just a habit",No,10,6,Yes,7
4/5/2026 9:57:48,,20 +,Male,"Instegram, FaceBook, TikTok, SnapChat, WhatsApp",Mix of both them,0 - 3 ( hours ),Yes,"Feeling bored, Seeing news and trends",Maybe,7,9,No,4
4/5/2026 10:12:28,,Under 20,Female,"Instegram, WhatsApp",Mix of both them,7+ ( hours ),Yes,"Feeling bored, Seeing news and trends",No,9,8,No,1
4/5/2026 10:13:52,,20 +,Female,"Instegram, TikTok, WhatsApp",Non educational content,3 - 7 ( hours ),Maybe,"Feeling bored, Taking to friends, Seeing news and trends",No,5,7,No,2
4/5/2026 10:32:39,,20 +,Female,"Pinterest,Hello talk",Non educational content,0 - 3 ( hours ),Yes,Just a habit,No,3,8,Yes,6
4/5/2026 10:46:31,,20 +,Female,Instegram,Mix of both them,3 - 7 ( hours ),Yes,"Feeling bored, Taking to friends, Just a habit",No,7,4,Maybe,4
4/5/2026 10:52:09,,20 +,Female,"Instegram, TikTok, SnapChat",Mix of both them,7+ ( hours ),Maybe,Feeling bored,No,8,6,No,3
4/5/2026 10:57:37,,20 +,Female,"Instegram, TikTok",Mix of both them,3 - 7 ( hours ),Yes,"Feeling bored, Just a habit",Yes,7,8,No,3
4/5/2026 10:58:36,,Under 20,Female,"TikTok, WhatsApp",Mix of both them,3 - 7 ( hours ),No,"Feeling bored, Taking to friends, Seeing news and trends",Yes,5,5,No,1
4/5/2026 11:00:15,,Under 20,Female,Instegram,Mix of both them,3 - 7 ( hours ),Maybe,"Taking to friends, Seeing news and trends, Just a habit",No,5,5,No,1
4/5/2026 11:01:59,,Under 20,Female,TikTok,Mix of both them,7+ ( hours ),No,"Taking to friends, Seeing news and trends",No,3,3,No,1
4/5/2026 11:12:55,,Under 20,Male,Instagram,Mix of both them,0 - 3 ( hours ),Maybe,"Feeling bored, Taking to friends",Maybe,4,2,No,1
4/5/2026 11:14:46,,20 +,Male,"Instagram, TikTok, WhatsApp",Mix of both them,0 - 3 ( hours ),Yes,"Feeling bored, Just a habit",No,5,9,No,3
4/5/2026 11:20:18,,Under 20,Male,"WhatsApp, X",educational content,0 - 3 ( hours ),Maybe,Seeing news and trends,Maybe,10,10,Yes,5
4/5/2026 11:22:12,,20 +,Male,"Instagram, FaceBook, WhatsApp",Mix of both them,0 - 3 ( hours ),Yes,Taking to friends,No,10,10,No,3
4/5/2026 11:22:26,,20 +,Male,"Instagram, TikTok, WhatsApp",Mix of both them,0 - 3 ( hours ),Maybe,"Taking to friends, Just a habit",Maybe,3,8,Yes,5
4/5/2026 11:26:49,,20 +,Male,FaceBook,Mix of both them,3 - 7 ( hours ),Yes,Just a habit,No,5,5,Yes,7
4/5/2026 11:33:01,,20 +,Male,TikTok,Mix of both them,3 - 7 ( hours ),Maybe,"Taking to friends, Seeing news and trends",No,5,5,No,1
4/5/2026 11:36:08,,20 +,Male,LinkedIn ,Mix of both them,0 - 3 ( hours ),Maybe,"Feeling bored, Taking to friends, Seeing news and trends",Maybe,6,8,Maybe,6
4/5/2026 11:51:22,,20 +,Male,Instagram,Mix of both them,3 - 7 ( hours ),Yes,"Taking to friends, Just a habit",Yes,8,10,No,8
4/5/2026 11:51:26,,20 +,Female,"Instagram, FaceBook, WhatsApp",Mix of both them,3 - 7 ( hours ),Maybe,"Seeing news and trends, Just a habit",No,4,5,No,1
4/5/2026 11:51:47,,Under 20,Female,"Instagram, TikTok",Mix of both them,3 - 7 ( hours ),Yes,"Feeling bored, Seeing news and trends",No,5,8,Yes,9
4/5/2026 11:57:54,,20 +,Female,"Instagram, TikTok, WhatsApp",Mix of both them,7+ ( hours ),Yes,Just a habit,Maybe,10,8,Yes,7
4/5/2026 12:08:02,,20 +,Female,"Instagram, FaceBook, TikTok, WhatsApp",Mix of both them,7+ ( hours ),No,"Feeling bored, Just a habit",Maybe,6,8,Yes,4
4/5/2026 12:17:05,,20 +,Female,"Instagram, FaceBook, TikTok, SnapChat, WhatsApp",Mix of both them,3 - 7 ( hours ),Maybe,"Feeling bored, Taking to friends, Seeing news and trends, Just a habit",No,6,8,Yes,5
4/5/2026 12:21:32,,20 +,Female,"FaceBook, TikTok, WhatsApp",Mix of both them,3 - 7 ( hours ),Maybe,"Feeling bored, Just a habit",Maybe,7,8,Maybe,6
4/5/2026 12:31:03,,Under 20,Female,Instagram,Non educational content,0 - 3 ( hours ),Yes,"Feeling bored, Just a habit",Yes,10,7,Yes,10
4/5/2026 12:32:57,,20 +,Female,"Instagram, TikTok, WhatsApp",Non educational content,3 - 7 ( hours ),Yes,"Feeling bored, Taking to friends, Seeing news and trends",No,5,8,No,1
4/5/2026 12:34:38,,20 +,Male,Instagram,Mix of both them,0 - 3 ( hours ),Yes,"Feeling bored, Taking to friends",Yes,8,10,No,2
4/5/2026 12:43:40,,20 +,Male,"Instagram, TikTok",Mix of both them,3 - 7 ( hours ),Maybe,Taking to friends,No,8,9,Yes,3
4/5/2026 12:45:28,,20 +,Male,"Instagram, FaceBook, TikTok",Mix of both them,0 - 3 ( hours ),Maybe,"Feeling bored, Taking to friends, Seeing news and trends, Just a habit",Yes,6,7,No,5
4/5/2026 13:14:50,,Under 20,Female,"Instagram, FaceBook, TikTok, SnapChat, WhatsApp",Mix of both them,3 - 7 ( hours ),No,"Feeling bored, Taking to friends, Seeing news and trends",Yes,7,5,No,4
4/5/2026 13:18:02,,Under 20,Female,"Instagram, TikTok, SnapChat, WhatsApp",Non educational content,3 - 7 ( hours ),Maybe,"Feeling bored, Taking to friends, Seeing news and trends",No,10,5,Maybe,5
4/5/2026 13:22:18,,Under 20,Male,TikTok,Mix of both them,3 - 7 ( hours ),Maybe,Feeling bored,Yes,4,6,No,1
4/5/2026 13:29:45,,Under 20,Male,"Instagram, TikTok, SnapChat, WhatsApp",Mix of both them,3 - 7 ( hours ),Yes,"Feeling bored, Taking to friends, Seeing news and trends, Just a habit",Maybe,8,10,Maybe,8
4/5/2026 13:41:50,,Under 20,Male,Instagram,Mix of both them,3 - 7 ( hours ),Maybe,Feeling bored,No,7,9,Yes,8
4/5/2026 13:43:03,,20 +,Female,"Instagram, TikTok",Non educational content,7+ ( hours ),Yes,"Feeling bored, Just a habit",No,9,10,Maybe,7
4/5/2026 13:46:11,,Under 20,Male,"Instagram, TikTok, SnapChat, WhatsApp",Mix of both them,0 - 3 ( hours ),Maybe,"Feeling bored, Taking to friends",No,3,6,Maybe,4
4/5/2026 13:46:27,,Under 20,Female,"TikTok, SnapChat, WhatsApp",Mix of both them,3 - 7 ( hours ),Yes,Just a habit,No,6,8,No,1
4/5/2026 13:47:02,,Under 20,Male,Instagram,Non educational content,3 - 7 ( hours ),Yes,"Feeling bored, Taking to friends, Seeing news and trends, Just a habit",No,10,10,Maybe,10
4/5/2026 13:51:00,,Under 20,Male,"Instagram, TikTok, SnapChat",Mix of both them,7+ ( hours ),Maybe,"Feeling bored, Just a habit",No,7,5,No,3
4/5/2026 13:54:44,,Under 20,Male,TikTok,Mix of both them,3 - 7 ( hours ),Yes,"Feeling bored, Taking to friends, Seeing news and trends, Just a habit",No,2,8,Maybe,4
4/5/2026 14:00:26,,Under 20,Male,"Instagram, FaceBook, TikTok, SnapChat, WhatsApp",Mix of both them,7+ ( hours ),Yes,"Feeling bored, Taking to friends, Just a habit",Maybe,8,9,Yes,7
4/5/2026 14:10:20,,20 +,Female,TikTok,Mix of both them,0 - 3 ( hours ),Maybe,"Feeling bored, Seeing news and trends, Just a habit",Maybe,7,8,Yes,4
4/5/2026 14:12:04,,20 +,Female,"Instagram, TikTok, WhatsApp",Non educational content,3 - 7 ( hours ),Yes,"Feeling bored, Taking to friends",No,7,9,Maybe,3
4/5/2026 14:12:06,,Under 20,Female,TikTok,Mix of both them,7+ ( hours ),Maybe,Feeling bored,Maybe,10,10,No,5
4/5/2026 14:13:07,,Under 20,Male,"Instagram, TikTok, SnapChat, WhatsApp",Mix of both them,7+ ( hours ),Yes,"Feeling bored, Just a habit",Yes,5,10,Yes,3
